,Link,Name,Price,Rating,# of Ratings
11,https://www.amazon.com/meross-Compatible-SmartThings-Multicolor-2700K-6500K/dp/B08BRPR7ZD/ref=sr_1_11?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-11,"Smart Light Bulb, meross Smart WiFi LED Bulbs Compatible with Apple HomeKit, Siri, Alexa, Google Assistant and SmartThings, Dimmable E26 Multicolor 2700K-6500K RGB, 810 Lumens 60W Equivalent, 2 Pack",28.99,4.0 out of 5 stars,1112
12,https://www.amazon.com/Eve-Light-Strip-Full-Spectrum-Necessary/dp/B07MTX8MR4/ref=sr_1_12?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-12,"Eve Light Strip - Apple HomeKit Smart Home LED Lights Strip, Full Color Spectrum and White, 1800 Lumens",79.95,4.4 out of 5 stars,159
13,https://www.amazon.com/meross-Supports-Assistant-SmartThings-Required/dp/B08DV22BSY/ref=sr_1_13?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-13,"3 Way Smart Switch, meross Smart Light Switch Supports Apple Homekit, Siri, Alexa, Google Assistant & SmartThings, 2.4Ghz WiFi Light Switch Neutral Wire Required, Remote Control Schedule",45.99,4.5 out of 5 stars,46
14,https://www.amazon.com/Dimmable-Assistant-Multi-Color-Nightstand-Schedule/dp/B087BZZCJ9/ref=sr_1_14?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-14,"Smart Table Lamp, Meross Dimmable WiFi Ambient Lamp, Works with HomeKit (iOS13+), Alexa and Google Assistant, Tunable White and Multi-Color Nightstand Lamp, Voice Control, APP Control, Schedule",29.99,4.3 out of 5 stars,262
15,https://www.amazon.com/meross-Supports-Assistant-SmartThings-Required/dp/B088NQMN5Z/ref=sr_1_15?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-15,"meross Smart Light Switch Supports Apple Homekit, Siri, Alexa, Google Assistant & SmartThings, 2.4Ghz WiFi Light Switch, Neutral Wire Required, Single Pole, Remote Control Schedule, 2 Pack",40.99,4.6 out of 5 stars,467
16,https://www.amazon.com/SYLVANIA-Dimmable-Equivalent-Google-Assistant/dp/B088G2B48D/ref=sr_1_16?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-16,"SYLVANIA Smart+ Wi-Fi Full Color Dimmable A19 LED Light Bulb, CRI 90+, 60W Equivalent, Compatible with Alexa and Google Assistant, 4 Pack",34.49,4.3 out of 5 stars,10886
17,https://www.amazon.com/Philips-White-Color-Ambiance-Double/dp/B07GXB3S7Z/ref=sr_1_17?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-17,"Philips Hue Play White & Color Smart Light, 2 Pack Base kit, Hub Required/Power Supply Included (Works with Amazon Alexa, Apple Homekit & Google Home)",129.99,4.7 out of 5 stars,5099
18,https://www.amazon.com/Multicolor-Google-Required-Equivalent-Changing/dp/B07QYMPT6W/ref=sr_1_18?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-18,"Smart WiFi Alexa Light Bulb, Peteme Led RGB Color Changing Bulbs, Compatible with Alexa, Siri, Echo, Google Home (No Hub Required), E26 A19 60W Multicolor (4 Pack)",26.99,4.3 out of 5 stars,11068
19,https://www.amazon.com/Philips-Hue-Bluetooth-compatible-Assistant/dp/B07QWB3J8W/ref=sr_1_19?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-19,"Philips Hue White 4-Pack A19 LED Smart Bulb, Bluetooth & Zigbee compatible (Hue Hub Optional), Works with Alexa & Google Assistant – A Certified for Humans Device",49.99,4.7 out of 5 stars,24882
20,https://www.amazon.com/Refoss-Multiple-Equivalent-Compatible-Assistant/dp/B08C54D2XX/ref=sr_1_20?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-20,"Smart Light Bulbs Apple HomeKit - Color Changing Smart Bulbs Compatible with Siri, Alexa and Google Home, A19 LED Bulb, E26 Fitting, 2700K-6500K Dimmable, 9W 810 Lumens, 1 Pack",17.99,4.0 out of 5 stars,2
21,https://www.amazon.com/LIFX-Color-800lm-Edison-Screw/dp/B08BL16M81/ref=sr_1_21?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-21,"LIFX Color A19 800 lumens, Billions of Colors and Whites, Wi-Fi Smart LED Light Bulb, No Bridge Required, Works with Alexa, Hey Google, HomeKit and Siri.",38.39,3.4 out of 5 stars,5
22,https://www.amazon.com/Philips-Hue-Bluetooth-Lightstrip-Compatible/dp/B08CKJWSFS/ref=sr_1_22?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-22,"Philips Hue Bluetooth Smart Lightstrip Plus 2m/6ft Base Kit with Plug, (Voice Compatible with Amazon Alexa, Apple Homekit and Google Home)",66.37,4.5 out of 5 stars,1202
23,https://www.amazon.com/SYLVANIA-SMART-74484-Bluetooth-Adjustable/dp/B073S5LH41/ref=sr_1_23?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-23,"SYLVANIA General Lighting A19 LED Bulb, Works with Apple HomeKit and Siri Voice Control, No Hub Required, 74484 (Bluetooth Edition), 1 Pack, Adjustable White and Full Color",26.8,4.2 out of 5 stars,1085
24,https://www.amazon.com/meross-Supports-Assistant-SmartThings-Dimmable/dp/B08GPBH5NK/ref=sr_1_24?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-24,"meross Smart Dimmer Switch Single Pole Supports Apple HomeKit, Alexa Google Assistant & SmartThings, 2.4Ghz WiFi Light Switch for Dimmable LED, Neutral Wire Required, Remote Control Schedule, 1 Pack",24.99,4.5 out of 5 stars,125
25,https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SN3MZM7/ref=sr_1_26?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-26,"Smart Light Bulb, Works with Alexa, Echo, Google Home and Siri, AL Abovelights Dimmable E26 9W Wi-Fi LED Smart Bulb, Warm White (2700K), 60W Equivalent, 810 LM, RGB+W, ETL Listed (1-Pack)",9.96,4.3 out of 5 stars,4931
26,https://www.amazon.com/Philips-Hue-Outdoor-Required-Assistant/dp/B07NDF3VPH/ref=sr_1_27?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-27,"Philips Hue Econic Outdoor White & Color Wall & Ceiling Light Fixture (Hue Hub Required, Works with Alexa, Apple Homekit & Google Assistant)",159.99,4.8 out of 5 stars,789
27,https://www.amazon.com/LIFX-L3A19LW06E26US-Dimmable-Required-HomeKit/dp/B0865TRD5L/ref=sr_1_28?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-28,"LIFX L3A19LW06E26CA White, A19 Wi-Fi Smart LED Light Bulb, Warm, Dimmable, No Bridge Required, Works with Amazon Alexa, Hey Google, Apple HomeKit",9.99,4.1 out of 5 stars,4686
28,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A070405122R31K0485CED&url=%2FPathson-Waterproof-Lighting-Fixtures-Courtyards%2Fdp%2FB07JM3FTNN%2Fref%3Dsr_1_29_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-29-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_mtf,Pathson Outdoor Wall Sconce 8W LED Lamps Waterproof Modern Low Profile Lighting Fixtures 3000K Warm White Wall Mount Light for Porch Courtyards Matte Black Finish (Warm Light),32.99,4.4 out of 5 stars,36
29,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06031172RWF38PZK9WSS&url=%2FCozylady-Strip-Lights-Controlled-Remote%2Fdp%2FB08B3TY416%2Fref%3Dsr_1_30_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-30-spons%26psc%3D1%26smid%3DA2QK21AYEOOMBP&qualifier=1614548111&id=294824532174403&widgetName=sp_mtf,"Cozylady LED Strip Lights 25Ft Controlled by APP, Remote , Voice",25.99,4.3 out of 5 stars,331
30,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0853044SUZ5T8CJQ6WR&url=%2Fmeross-Compatible-Assistant-SmartThings-Waterproof%2Fdp%2FB08HQ2N235%2Fref%3Dsr_1_31_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-31-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_mtf,"meross Outdoor Smart Plug Compatible with Apple HomeKit, Siri, Alexa, Google Assistant and SmartThings, Waterproof WiFi Outdoor Outlet, Remote & Voice Control, Timer, FCC and ETL Certified",25.99,4.6 out of 5 stars,764
31,https://www.amazon.com/meross-Smart-Plug-HomeKit-Pack/dp/B084JHJBQT/ref=sr_1_32?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-32,"Meross Smart Plug Mini, 16A & Reliable WiFi, Support Apple HomeKit, Siri, Alexa, Echo, Google Assistant, Nest Hub and SmartThings, App Control, Timer, No Hub Needed, 4 Pack",39.99,4.6 out of 5 stars,1091
32,https://www.amazon.com/meross-Led-Strip-Lights/dp/B087R91QS5/ref=sr_1_33?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-33,"Smart LED Strip Lights, 16.4ft RGBWW WiFi Strip, Compatible with Alexa&Google and SmartThings, App Control, Color Changing Led Strips for Home, Bedroom, Kitchen, TV, Party",18.99,4.6 out of 5 stars,176
33,https://www.amazon.com/SYLVANIA-Bluetooth-Equivalent-Assistant-Required/dp/B07G2S8PMM/ref=sr_1_34?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-34,"SYLVANIA SMART+ Bluetooth Full Color and Tunable White BR30 LED Bulb, Fully Dimmable, Compatible with Alexa, Apple HomeKit and Google Assistant, 1 pack",49.99,3.6 out of 5 stars,227
34,https://www.amazon.com/SYLVANIA-Flexible-Lightstrip-Connector-Bluetooth/dp/B0142T2HW8/ref=sr_1_35?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-35,SYLVANIA SMART+ Indoor Flexible Lightstrip Connector Kit for Bluetooth and ZigBee SMART+ Indoor Full Color Flex Strips,29.99,4.3 out of 5 stars,231
35,https://www.amazon.com/Smart-Light-Switch-Apple-Homekit/dp/B087CF7SGD/ref=sr_1_36?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-36,"Smart Light Switch Apple Homekit - Refoss Single Pole Smart Switch Wi-Fi Wall Switch Compatible with Siri, Alexa & Google Assistant, Remote Control, Voice Control, Schedule, Neutral Wire Required",19.99,4.5 out of 5 stars,187
36,https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=sr_1_37?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-37,"Kasa Smart HS200 Light Switch by TP-Link, Single Pole, Needs Neutral Wire, 2.4Ghz Wi-Fi Light Switch Works with Alexa and Google Assistant, UL Certified, 1-Pack, White",14.99,4.6 out of 5 stars,19112
37,https://www.amazon.com/LifeSmart-HomeKit-Compatible-Assistant-Changing/dp/B08NT6K6MR/ref=sr_1_38?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-38,"LifeSmart Strip Lights Work with Apple HomeKit, 2.4GHz WiFi Rope Light Compatible with Siri, Alexa, Google Assistant, Smart Color Changing Music Sync Remote, 6.6ft/2M SMD 5050 RGB Tape Light, 30LEDs/M",45.99,3.8 out of 5 stars,5
38,https://www.amazon.com/Philips-Hue-Stand-Alone-Bridge/dp/B016H0QZ7I/ref=sr_1_39?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-39,Philips Hue Smart Hub (Works with Alexa Apple HomeKit and Google Assistant),59.97,4.6 out of 5 stars,4308
39,https://www.amazon.com/VOCOlinc-HomeKit-Assistant-Required-Smartbar/dp/B07NJRS8TX/ref=sr_1_42?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-42,VOCOlinc Smart Plug Mini Siri WiFi Outlet Socket Works with HomeKit (iOS13+) Alexa Google Assistant Nest Hub Voice Control Remote Access Timer No Hub Required 15A 1800W 2.4GHz Smartbar (2PACK),25.99,4.4 out of 5 stars,2485
40,https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SNRSWNY/ref=sr_1_43?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-43,"Smart Light Bulb, AL Abovelights A19 E26 9W WiFi LED Smart Bulb, Works with Alexa, Echo, Google Home & Siri (No Hub Required), Warm White, 60W Equivalent, ETL Listed (2-Pack)",14.99,4.3 out of 5 stars,11308
41,https://www.amazon.com/Eve-Light-Switch-Connected-intelligent/dp/B01M8HI8L5/ref=sr_1_44?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-44,"Eve Light Switch - Connected Wall Switch, easily upgrade to smart lighting, automate your lighting with schedules (timer), Siri & app control, Bluetooth (Apple HomeKit, iOS)",49.95,4.5 out of 5 stars,402
42,https://www.amazon.com/GE-Lighting-93105377-Full-Color/dp/B07NWD6C7K/ref=sr_1_46?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-46,"C by GE A19 Smart LED Bulbs - Full Color Changing Light Bulbs with App Control, 2-Pack, Smart Light Bulb Works with Alexa and Google Home, Color Light Bulbs for Bedroom, Bluetooth Light Bulbs",32.99,4.1 out of 5 stars,3248
